batch_size,defect_count
500,8
550,9
600,10
450,7
650,11
700,12
750,13
800,14
850,15
900,16
950,17
1000,18
520,8
580,9
630,10
480,7
670,11
720,12
770,13
820,14
870,15
920,16
970,17
1020,18
540,8
590,9
640,10
490,7
680,11
730,12
780,13
830,14
880,15
930,16
980,17
1030,18
510,8
560,9
610,10
460,7
660,11
710,12
760,13
810,14
860,15
910,16
960,17
1010,18
530,8
570,9
620,10
470,7
690,11
740,12
790,13
840,14
890,15
940,16
990,17
1040,18
550,9
600,10
650,11
500,8
700,12
750,13
800,14
850,15
900,16
950,17
1000,18
1050,19
560,9
610,10
660,11
510,8
710,12
760,13
810,14
860,15
910,16
960,17
1010,18
1060,19
520,8
580,9
630,10
490,7
670,11
720,12
770,13
820,14
870,15
920,16
970,17
1020,18
540,8
590,9
640,10
500,8
